char,pinyin,description,level
您,nin2,você,1
好,hao3,bom,1
贵姓,gui4xing4,sobrenome,1
我,wo3,eu,1
呢,ne,e quanto a,1
是,shi4,ser,1
人,ren2,pessoa,1
吗,ma,partícula interrogativa,1
不,bu2,não,1
同学,tong4xue4,colega de classe,1
们,men,partícula de plural,1
老师,lao3shi1,professor,1
叫,jiao4,chamar,1
你,ni3,você,1
什么,shen2me,que,1
名字,ming2zi,nome,1
那国人,na3guo2ren2,de que país,1
也,ye3,também,1
说,shuo1,falar; dizer,1
葡萄牙语,pu2tao2ya2yu3,Português (língua),1
还是,hai2shi,ou interrogativa,1
法语,fa3yu3,Francês (língua),1
都,dou1,todo; todos,1
只,zhi3,apenas; só,1
汉语,han4yu3,Chinês (língua),1
他,ta1,ele,1
她,ta1,ela,1
中国,zhong1guo2,China,1
葡萄牙,pu2tao2ya3,Portugal,1
巴西,ba1xi,Brasil,1
美国,mei2guo1,Estados Unidos,1
英文,ying1wen2,Inglês (língua),1
西文,xi1wen2,Espanhol (língua),1
普通话,pu3tong1hua4,Mandarim,1
英国,ying1guo2,Reino Unido,1
俄罗斯,e2luo2si1,Rússia,1
法国,fa3guo2,França,1
德国,de2guo2,Alemanha,1
日本,ri4ben3,Japão,1
韩国,han2guo2,Coreia do Sul,1
华裔,hua2yi4,descendente de chinês,1
认识,ren4shi,conhecer,2
很,hen3,muito,2
高兴,gao1xing4,feliz,2
在,zai4,em; estar; ficar,2
进出口,jin4chu1kou3,importação e exportação,2
公司,gong1si1,companhia,2
工作,gong1zuo4,trabalhar,2
大学,da4xue2,universidade,2
系,xi4,faculdade (da universidade),2
学习,xue2xi2,estudar; aprender,2
可以,ke3yi3,poder,2
给,gei3,para,2
打电话,da3dian4hua4,telefonar,2
的,de,part. posse,2
号码,hao4ma3,número,2
零,ling2,zero,2
发,fa1,enviar;mandar,2
电子邮件,dian4zi3you2jian4,E-mail,2
这,zhe4,este(a),2
女,nv3,feminino,2
男,nan2,masculino,2
朋友,peng2you,amigo,2
清,qing3,fazer favor,2
进,jin4,entrar,2
坐,zuo4,sentar-se,2
谢谢,xie4xie,obrigado,2
喝,he1,beber,2
茶,cha2,chá,2
哪儿,na3r,onde,2
学院,xue2yuan4,instituto,2
怎么样,zen3meyang4,como,2
大,da4,grande,2
漂亮,piao4liang,bonita,2
喜欢,xi3huan,gostar,2
那,na4,aquele,2
小,xiao3,pequeno,2
地方,di4fang,lugar,3
个,ge4,p.c. geral,3
家,jia1,família; casa,3
有,you3,ter; haver,3
几,ji3,quantos,3
口,kou3,p.c. pessoas na família,3
这儿,zher4,aqui,3
爸爸,ba4ba,pai,3
妈妈,ma1ma,mãe,3
和,he2,e,3
太太,tai4tai,esposa,3
孩子,hai2zi,criança; filho,3
多大,duo1da4,quantos anos,3
两,liang3,dois,3
岁,sui4,anos de idade,3
可爱,ke3ai2,querido; fofo,3
把,ba,part. imperativo,3
